MC_kts,Spd_kts,LD,,
0,72,50.2,,at max gross
0.2,74,50.1,,
0.4,76,49.8,,
0.6,78,49.4,,
0.8,80,48.9,,
1,82,48.2,,
1.2,85,47.4,,
1.4,87,46.5,,
1.6,88,46.1,,
1.7,89,45.6,,
1.9,90,45.1,,
2.1,91,44.6,,
2.3,92,44,,
2.5,93,43.4,,
2.7,94,42.8,,
2.9,96,42.2,,
3.1,97,41.5,,
3.3,98,40.8,,
3.5,99,40.1,,
3.7,100,39.3,,
3.9,102,38.6,,
4.1,103,37.9,,
4.3,104,37.1,,
4.5,105,36.3,,
4.7,106,35.6,,
4.9,108,34.8,,
5.1,109,33.9,,
5.2,110,33.1,,
5.4,112,32.3,,
5.6,113,31.3,,
5.8,114,30.8,,
6,116,30.4,,
6.2,117,30,,
6.4,118,29.6,,
6.6,120,29.1,,
6.8,121,28.7,,
7,123,28.3,,
7.2,124,27.9,,
7.4,126,27.4,,
7.6,127,27,,
7.8,129,26.6,,
8,130,26,,
