MC_kts,Spd_kts,LD,sinkrate_kts,
0,72,50.2,-1.434,at max gross
0.2,74,50.1,-1.477,
0.4,76,49.8,-1.526,
0.6,78,49.4,-1.579,
0.8,80,48.9,-1.636,
1,82,48.2,-1.701,
1.2,85,47.4,-1.793,
1.4,87,46.5,-1.871,
1.6,88,46.1,-1.909,
1.7,89,45.6,-1.952,
1.9,90,45.1,-1.996,
2.1,91,44.6,-2.040,
2.3,92,44,-2.091,
2.5,93,43.4,-2.143,
2.7,94,42.8,-2.196,
2.9,96,42.2,-2.275,
3.1,97,41.5,-2.337,
3.3,98,40.8,-2.402,
3.5,99,40.1,-2.469,
3.7,100,39.3,-2.545,
3.9,102,38.6,-2.642,
4.1,103,37.9,-2.718,
4.3,104,37.1,-2.803,
4.5,105,36.3,-2.893,
4.7,106,35.6,-2.978,
4.9,108,34.8,-3.103,
5.1,109,33.9,-3.215,
5.2,110,33.1,-3.323,
5.4,112,32.3,-3.467,
5.6,113,31.3,-3.610,
5.8,114,30.8,-3.701,
6,116,30.4,-3.816,
6.2,117,30,-3.900,
6.4,118,29.6,-3.986,
6.6,120,29.1,-4.124,
6.8,121,28.7,-4.216,
7,123,28.3,-4.346,
7.2,124,27.9,-4.444,
7.4,126,27.4,-4.599,
7.6,127,27,-4.704,
7.8,129,26.6,-4.850,
8,130,26,-5.000,
