Rank,Name,Ave Glide IAS (kts),Glide L/D,Avg Glide Dist (nmi),Avg Netto (kts),Avg Climb (kts),Deviation Flown (%),Avg Alt (ft)
1.0,JBD - Juan Darrain,80,36.1,6.98,0.45,3.79,10.56,4004
2.0,DB2 - Duane Beck,74,40.5,7.22,0.6,3.4,11.44,3760
3.0,JU - John Usher,66,57.4,9.25,0.68,3.52,14.22,3376
4.0,HG1 - Ryan Wood,73,41.9,7.03,0.61,3.83,14.76,3893
5.0,DAS - Salido Diego,75,38.6,7.21,0.52,3.44,11.02,3195
6.0,51 - Tom Johnston,74,37.8,5.6,0.42,3.67,13.63,3674
7.0,OOW - Patrick McMahon,68,46.1,4.86,0.46,3.25,10.93,3643
8.0,CM2 - Carlos Mikelsen,79,37.6,8.62,0.62,3.34,14.67,2758
9.0,KG - Chris Grab,72,42.1,6.42,0.52,3.36,15.81,4019
10.0,JM - Brian Camps,72,32.5,8.06,-5.11,3.95,11.48,3566
11.0,TA3 - Frank Paynter,77,36.4,6.62,0.5,3.83,17.31,3375
12.0,AC6 - Andrzej Cholewinski,69,46.8,4.53,0.62,3.01,13.56,3910
13.0,F1L - Phil Stang,67,43.2,6.32,0.42,3.42,12.29,3971
14.0,RET - Raymond Troppmann,68,38.0,5.7,0.14,3.36,10.39,4111
15.0,JS1 - Joerg Stieber,71,36.4,6.88,0.2,3.56,13.38,3627
16.0,XS - Sasha Pejic,69,41.9,11.65,-4.27,3.23,17.91,2324
17.0,EX - Tyler P,72,47.7,4.68,0.74,2.57,16.17,3656
18.0,FHV - Federico Valle,74,41.1,5.14,0.64,2.99,16.16,2727
19.0,S1 - Irek Sek,71,41.5,3.7,0.5,2.9,14.89,3958
20.0,TL8 - Thomas Link,67,44.2,4.2,0.53,2.55,10.25,2843
21.0,HN1 - Harry N,70,33.6,6.52,0.21,3.46,16.66,3340
22.0,A11 - Cathy Keller,61,45.9,5.04,0.41,3.01,13.87,3432
23.0,BOT - Tim Meijome,72,47.0,3.25,0.88,2.45,21.01,3998
24.0,058 - Clark Kent,67,36.5,2.75,0.08,3.38,16.47,4098
25.0,OG - Kirk Bittner,67,35.2,5.06,-4.41,2.97,15.54,3242
26.0,MNJ - Jim Mason,67,36.5,4.71,0.19,2.95,9.0,4083
27.0,TZ - Bill T,67,36.0,4.15,0.28,2.97,16.69,4112
28.0,SAS - Steve Snyder,69,28.0,2.79,-5.29,3.63,18.16,3901
29.0,GR2 - Nick Meijer,55,38.7,4.66,-3.2,3.11,21.14,4156
30.0,ET2 - eric t,73,29.4,4.95,-0.31,2.27,21.77,3421
